drone_id,step,x,y
2,0,240,73
2,1,241,72
2,2,242,71
2,3,243,70
2,4,244,69
2,5,245,68
2,6,246,67
2,7,247,66
2,8,248,65
2,9,249,64
2,10,250,63
2,11,251,62
2,12,252,61
2,13,253,60
2,14,254,59
2,15,255,58
2,16,256,57
2,17,257,56
2,18,258,55
2,19,259,54
2,20,260,53
2,21,261,52
2,22,262,51
2,23,263,50
2,24,264,49
2,25,265,48
2,26,266,47
2,27,267,46
2,28,268,45
2,29,269,44
2,30,270,43
2,31,271,42
2,32,272,41
2,33,273,40
2,34,274,39
2,35,275,38
2,36,276,37
2,37,277,36
2,38,278,35
2,39,279,34
2,40,280,33
2,41,281,32
2,42,282,31
2,43,283,30
2,44,284,29
2,45,285,28
2,46,286,27
2,47,287,26
2,48,288,25
2,49,289,24
2,50,290,23
