drone_id,step,x,y
3,0,404,96
3,1,405,95
3,2,406,94
3,3,407,93
3,4,408,92
3,5,409,91
3,6,410,90
3,7,411,89
3,8,412,88
3,9,413,87
3,10,414,86
3,11,415,85
3,12,416,84
3,13,417,83
3,14,418,82
3,15,419,81
3,16,420,80
3,17,421,79
3,18,422,78
3,19,423,77
3,20,424,76
3,21,425,75
3,22,426,74
3,23,427,73
3,24,428,72
3,25,429,71
3,26,430,70
3,27,431,69
3,28,432,68
3,29,433,67
3,30,434,66
3,31,435,65
3,32,436,64
3,33,437,63
3,34,438,62
3,35,439,61
3,36,440,60
3,37,441,59
3,38,442,58
3,39,443,57
3,40,444,56
3,41,445,55
3,42,446,54
3,43,447,53
3,44,448,52
3,45,449,51
3,46,450,50
3,47,451,49
3,48,452,48
3,49,453,47
3,50,454,46
