drone_id,step,x,y
2,0,190,75
2,1,191,76
2,2,192,77
2,3,193,78
2,4,194,79
2,5,195,80
2,6,196,81
2,7,197,82
2,8,198,83
2,9,199,84
2,10,200,85
2,11,201,86
2,12,202,87
2,13,203,88
2,14,204,89
2,15,205,90
2,16,206,91
2,17,207,92
2,18,208,93
2,19,209,94
2,20,210,95
2,21,211,96
2,22,212,97
2,23,213,98
2,24,214,99
2,25,215,98
2,26,216,97
2,27,217,96
2,28,218,95
2,29,219,94
2,30,220,93
2,31,221,92
2,32,222,91
2,33,223,90
2,34,224,89
2,35,225,88
2,36,226,87
2,37,227,86
2,38,228,85
2,39,229,84
2,40,230,83
2,41,231,82
2,42,232,81
2,43,233,80
2,44,234,79
2,45,235,78
2,46,236,77
2,47,237,76
2,48,238,75
2,49,239,74
2,50,240,73
