drone_id,step,x,y
2,0,494,1
2,1,495,2
2,2,496,3
2,3,497,4
2,4,498,5
2,5,499,6
2,6,500,7
2,7,501,8
2,8,502,9
2,9,503,10
2,10,504,11
2,11,505,12
2,12,506,13
2,13,507,14
2,14,508,15
2,15,509,16
2,16,510,17
2,17,511,18
2,18,512,19
2,19,513,20
2,20,514,21
2,21,515,22
2,22,516,23
2,23,517,24
2,24,518,25
2,25,519,26
2,26,520,27
2,27,521,28
2,28,522,29
2,29,523,30
2,30,524,31
2,31,525,32
2,32,526,33
2,33,527,34
2,34,528,35
2,35,529,36
2,36,530,37
2,37,531,38
2,38,532,39
2,39,533,40
2,40,534,41
2,41,535,42
2,42,536,43
2,43,537,44
2,44,538,45
2,45,539,46
2,46,540,47
2,47,541,48
2,48,542,49
2,49,543,50
2,50,544,51
