drone_id,step,x,y
2,0,8,15
2,1,7,14
2,2,6,13
2,3,5,12
2,4,4,11
2,5,3,10
2,6,2,9
2,7,1,8
2,8,0,7
2,9,1,6
2,10,2,5
2,11,3,4
2,12,4,3
2,13,5,2
2,14,6,1
2,15,7,0
2,16,8,1
2,17,9,2
2,18,10,3
2,19,11,4
2,20,12,5
2,21,13,6
2,22,14,7
2,23,15,8
2,24,16,9
2,25,17,10
2,26,18,11
2,27,19,12
2,28,20,13
2,29,21,14
2,30,22,15
2,31,23,16
2,32,24,17
2,33,25,18
2,34,26,19
2,35,27,20
2,36,28,21
2,37,29,22
2,38,30,23
2,39,31,24
2,40,32,25
2,41,33,26
2,42,34,27
2,43,35,28
2,44,36,29
2,45,37,30
2,46,38,31
2,47,39,32
2,48,40,33
2,49,41,34
2,50,42,35
