drone_id,step,x,y
2,0,90,42
2,1,89,42
2,2,88,42
2,3,87,42
2,4,86,42
2,5,85,42
2,6,84,42
2,7,83,42
2,8,82,42
2,9,81,42
2,10,80,42
2,11,79,42
2,12,78,42
2,13,77,42
2,14,76,42
2,15,75,42
2,16,74,42
2,17,73,42
2,18,72,42
2,19,71,42
2,20,70,42
2,21,69,42
2,22,68,42
2,23,67,42
2,24,66,42
2,25,65,42
2,26,64,42
2,27,63,42
2,28,62,42
2,29,61,42
2,30,60,42
2,31,59,42
2,32,58,42
2,33,57,42
2,34,56,42
2,35,55,42
2,36,54,42
2,37,53,42
2,38,52,42
2,39,51,42
2,40,50,42
2,41,49,42
2,42,48,42
2,43,47,42
2,44,46,42
2,45,45,42
2,46,44,42
2,47,43,42
2,48,42,42
2,49,41,42
