drone_id,step,x,y
6,0,460,50
6,1,461,50
6,2,462,50
6,3,463,50
6,4,464,50
6,5,465,50
6,6,466,50
6,7,467,50
6,8,468,50
6,9,469,50
6,10,470,50
6,11,471,50
6,12,472,50
6,13,473,50
6,14,474,50
6,15,475,50
6,16,476,50
6,17,477,50
6,18,478,50
6,19,479,50
6,20,480,50
6,21,481,50
6,22,482,50
6,23,483,50
6,24,484,50
6,25,485,50
6,26,486,50
6,27,487,50
6,28,488,50
6,29,489,50
6,30,490,50
6,31,491,50
6,32,492,50
6,33,493,50
6,34,494,50
6,35,495,50
6,36,496,50
6,37,497,50
6,38,498,50
6,39,499,50
6,40,500,50
6,41,501,50
6,42,502,50
6,43,503,50
6,44,504,50
6,45,505,50
6,46,506,50
6,47,507,50
6,48,508,50
6,49,509,50
6,50,510,50
