drone_id,step,x,y
2,0,146,41
2,1,147,40
2,2,148,39
2,3,149,38
2,4,150,37
2,5,151,36
2,6,152,35
2,7,153,34
2,8,154,33
2,9,155,32
2,10,156,31
2,11,157,30
2,12,158,29
2,13,159,28
2,14,160,27
2,15,161,26
2,16,162,25
2,17,163,24
2,18,164,23
2,19,165,22
2,20,166,21
2,21,167,20
2,22,168,19
2,23,169,18
2,24,170,17
2,25,171,16
2,26,172,15
2,27,173,14
2,28,174,13
2,29,175,12
2,30,176,11
2,31,177,10
2,32,178,9
2,33,179,8
2,34,180,7
2,35,181,6
2,36,182,5
2,37,183,4
2,38,184,3
2,39,185,2
2,40,186,1
2,41,187,0
2,42,188,1
2,43,189,2
2,44,190,3
2,45,191,4
2,46,192,5
2,47,193,6
2,48,194,7
2,49,195,8
2,50,196,9
