drone_id,step,x,y
2,0,44,53
2,1,45,52
2,2,46,51
2,3,47,50
2,4,48,49
2,5,49,48
2,6,50,47
2,7,51,46
2,8,52,45
2,9,53,44
2,10,54,43
2,11,55,42
2,12,56,41
2,13,57,40
2,14,58,39
2,15,59,38
2,16,60,37
2,17,61,36
2,18,62,35
2,19,63,34
2,20,64,33
2,21,65,32
2,22,66,31
2,23,67,30
2,24,68,29
2,25,69,28
2,26,70,27
2,27,71,26
2,28,72,25
2,29,73,24
2,30,74,23
2,31,75,22
2,32,76,21
2,33,77,20
2,34,78,19
2,35,79,18
2,36,80,17
2,37,81,16
2,38,82,15
2,39,83,14
2,40,84,13
2,41,85,12
2,42,86,11
2,43,87,10
2,44,88,9
2,45,89,8
2,46,90,7
2,47,91,6
2,48,92,5
2,49,93,4
2,50,94,3
