drone_id,step,x,y
1,0,100,58
1,1,101,57
1,2,102,56
1,3,103,55
1,4,104,54
1,5,105,53
1,6,106,52
1,7,107,51
1,8,108,50
1,9,109,49
1,10,110,48
1,11,111,47
1,12,112,46
1,13,113,45
1,14,114,44
1,15,115,43
1,16,116,42
1,17,117,41
1,18,118,40
1,19,119,39
1,20,120,38
1,21,121,37
1,22,122,36
1,23,123,35
1,24,124,34
1,25,125,33
1,26,126,32
1,27,127,31
1,28,128,30
1,29,129,29
1,30,130,28
1,31,131,27
1,32,132,26
1,33,133,25
1,34,134,24
1,35,135,23
1,36,136,22
1,37,137,21
1,38,138,20
1,39,139,19
1,40,140,18
1,41,141,17
1,42,142,16
1,43,143,15
1,44,144,14
1,45,145,13
1,46,146,12
1,47,147,11
1,48,148,10
1,49,149,9
1,50,150,8
