drone_id,step,x,y
4,0,85,18
4,1,84,19
4,2,83,20
4,3,82,21
4,4,81,22
4,5,80,23
4,6,79,24
4,7,78,25
4,8,77,26
4,9,76,27
4,10,75,28
4,11,74,29
4,12,73,30
4,13,72,31
4,14,71,32
4,15,70,33
4,16,69,34
4,17,68,35
4,18,67,36
4,19,66,37
4,20,65,38
4,21,64,39
4,22,63,40
4,23,62,41
4,24,61,42
4,25,60,43
4,26,59,44
4,27,58,45
4,28,57,46
4,29,56,47
4,30,55,48
4,31,54,49
4,32,53,50
4,33,52,51
4,34,51,52
4,35,50,53
4,36,49,54
4,37,48,55
4,38,47,56
4,39,46,57
4,40,45,58
4,41,44,59
4,42,43,60
4,43,42,61
4,44,41,62
4,45,40,63
4,46,39,64
4,47,38,65
4,48,37,66
4,49,36,67
4,50,35,68
