drone_id,step,x,y
6,0,162,50
6,1,163,50
6,2,164,50
6,3,165,50
6,4,166,50
6,5,167,50
6,6,168,50
6,7,169,50
6,8,170,50
6,9,171,50
6,10,172,50
6,11,173,50
6,12,174,50
6,13,175,50
6,14,176,50
6,15,177,50
6,16,178,50
6,17,179,50
6,18,180,50
6,19,181,50
6,20,182,50
6,21,183,50
6,22,184,50
6,23,185,50
6,24,186,50
6,25,187,50
6,26,188,50
6,27,189,50
6,28,190,50
6,29,191,50
6,30,192,50
6,31,193,50
6,32,194,50
6,33,195,50
6,34,196,50
6,35,197,50
6,36,198,50
6,37,199,50
6,38,200,50
6,39,201,50
6,40,202,50
6,41,203,50
6,42,204,50
6,43,205,50
6,44,206,50
6,45,207,50
6,46,208,50
6,47,209,50
6,48,210,50
6,49,211,50
6,50,212,50
