drone_id,step,x,y
4,0,269,6
4,1,270,5
4,2,271,4
4,3,272,3
4,4,273,2
4,5,274,1
4,6,275,0
4,7,276,1
4,8,277,2
4,9,278,3
4,10,279,4
4,11,280,5
4,12,281,6
4,13,282,7
4,14,283,8
4,15,284,9
4,16,285,10
4,17,286,11
4,18,287,12
4,19,288,13
4,20,289,14
4,21,290,15
4,22,291,16
4,23,292,17
4,24,293,18
4,25,294,19
4,26,295,20
4,27,296,21
4,28,297,22
4,29,298,23
4,30,299,24
4,31,300,25
4,32,301,26
4,33,302,27
4,34,303,28
4,35,304,29
4,36,305,30
4,37,306,31
4,38,307,32
4,39,308,33
4,40,309,34
4,41,310,35
4,42,311,36
4,43,312,37
4,44,313,38
4,45,314,39
4,46,315,40
4,47,316,41
4,48,317,42
4,49,318,43
4,50,319,44
