drone_id,step,x,y
2,0,340,27
2,1,341,28
2,2,342,29
2,3,343,30
2,4,344,31
2,5,345,32
2,6,346,33
2,7,347,34
2,8,348,35
2,9,349,36
2,10,350,37
2,11,351,38
2,12,352,39
2,13,353,40
2,14,354,41
2,15,355,42
2,16,356,43
2,17,357,44
2,18,358,45
2,19,359,46
2,20,360,47
2,21,361,48
2,22,362,49
2,23,363,50
2,24,364,51
2,25,365,52
2,26,366,53
2,27,367,54
2,28,368,55
2,29,369,56
2,30,370,57
2,31,371,58
2,32,372,59
2,33,373,60
2,34,374,61
2,35,375,62
2,36,376,63
2,37,377,64
2,38,378,65
2,39,379,66
2,40,380,67
2,41,381,68
2,42,382,69
2,43,383,70
2,44,384,71
2,45,385,72
2,46,386,73
2,47,387,74
2,48,388,75
2,49,389,76
2,50,390,77
