drone_id,step,x,y
2,0,4,7
2,1,3,8
2,2,2,9
2,3,1,10
2,4,0,11
2,5,1,12
2,6,2,13
2,7,3,14
2,8,4,15
2,9,5,16
2,10,6,17
2,11,7,18
2,12,8,19
2,13,9,20
2,14,10,21
2,15,11,22
2,16,12,23
2,17,13,24
2,18,14,25
2,19,15,26
2,20,16,27
2,21,17,28
2,22,18,29
2,23,19,30
2,24,20,31
2,25,21,32
2,26,22,33
2,27,23,34
2,28,24,35
2,29,25,36
2,30,26,37
2,31,27,38
2,32,28,39
2,33,29,40
2,34,30,41
2,35,31,42
2,36,32,43
2,37,33,44
2,38,34,45
2,39,35,46
2,40,36,47
2,41,37,48
2,42,38,49
2,43,39,50
2,44,40,51
2,45,41,52
2,46,42,53
2,47,43,54
2,48,44,55
2,49,45,56
2,50,46,57
