drone_id,step,x,y
5,0,204,47
5,1,205,46
5,2,206,45
5,3,207,44
5,4,208,43
5,5,209,42
5,6,210,41
5,7,211,40
5,8,212,39
5,9,213,38
5,10,214,37
5,11,215,36
5,12,216,35
5,13,217,34
5,14,218,33
5,15,219,32
5,16,220,31
5,17,221,30
5,18,222,29
5,19,223,28
5,20,224,27
5,21,225,26
5,22,226,25
5,23,227,24
5,24,228,23
5,25,229,22
5,26,230,21
5,27,231,20
5,28,232,19
5,29,233,18
5,30,234,17
5,31,235,16
5,32,236,15
5,33,237,14
5,34,238,13
5,35,239,12
5,36,240,11
5,37,241,10
5,38,242,9
5,39,243,8
5,40,244,7
5,41,245,6
5,42,246,5
5,43,247,4
5,44,248,3
5,45,249,2
5,46,250,1
5,47,251,0
5,48,252,1
5,49,253,2
5,50,254,3
