drone_id,step,x,y
4,0,400,75
4,1,401,74
4,2,402,73
4,3,403,72
4,4,404,71
4,5,405,70
4,6,406,69
4,7,407,68
4,8,408,67
4,9,409,66
4,10,410,65
4,11,411,64
4,12,412,63
4,13,413,62
4,14,414,61
4,15,415,61
4,16,416,61
4,17,417,61
4,18,418,61
4,19,419,61
4,20,420,61
4,21,421,61
4,22,422,61
4,23,423,61
4,24,424,61
4,25,425,61
4,26,426,61
4,27,427,61
4,28,428,61
4,29,429,61
4,30,430,61
4,31,431,61
4,32,432,61
4,33,433,61
4,34,434,61
4,35,435,61
4,36,436,61
4,37,437,61
4,38,438,61
4,39,439,61
4,40,440,61
4,41,441,61
4,42,442,61
4,43,443,61
4,44,444,61
4,45,445,61
4,46,446,61
4,47,447,61
4,48,448,61
4,49,449,61
4,50,450,61
