drone_id,step,x,y
5,0,354,95
5,1,355,94
5,2,356,93
5,3,357,92
5,4,358,91
5,5,359,90
5,6,360,89
5,7,361,88
5,8,362,87
5,9,363,86
5,10,364,85
5,11,365,84
5,12,366,83
5,13,367,82
5,14,368,81
5,15,369,80
5,16,370,79
5,17,371,78
5,18,372,77
5,19,373,76
5,20,374,75
5,21,375,74
5,22,376,73
5,23,377,72
5,24,378,71
5,25,379,70
5,26,380,69
5,27,381,68
5,28,382,67
5,29,383,66
5,30,384,65
5,31,385,64
5,32,386,63
5,33,387,62
5,34,388,61
5,35,389,60
5,36,390,59
5,37,391,58
5,38,392,57
5,39,393,56
5,40,394,55
5,41,395,54
5,42,396,53
5,43,397,52
5,44,398,51
5,45,399,50
5,46,400,49
5,47,401,48
5,48,402,47
5,49,403,46
5,50,404,45
