drone_id,step,x,y
5,0,298,63
5,1,297,62
5,2,296,61
5,3,295,60
5,4,294,59
5,5,293,58
5,6,292,57
5,7,291,56
5,8,290,55
5,9,289,54
5,10,288,53
5,11,287,52
5,12,286,51
5,13,285,50
5,14,284,49
5,15,283,48
5,16,282,47
5,17,281,46
5,18,280,45
5,19,279,44
5,20,278,43
5,21,277,42
5,22,276,41
5,23,275,40
5,24,274,39
5,25,273,38
5,26,272,37
5,27,271,36
5,28,270,35
5,29,269,34
5,30,268,33
5,31,267,32
5,32,266,31
5,33,265,30
5,34,264,29
5,35,263,28
5,36,262,27
5,37,261,26
5,38,260,25
5,39,259,24
5,40,258,23
5,41,257,22
5,42,256,21
5,43,255,20
5,44,254,19
5,45,253,18
5,46,252,17
5,47,251,16
5,48,250,15
5,49,249,14
5,50,248,13
