drone_id,step,x,y
4,0,265,28
4,1,266,27
4,2,267,26
4,3,268,25
4,4,269,24
4,5,270,23
4,6,271,22
4,7,272,21
4,8,273,20
4,9,274,19
4,10,275,18
4,11,276,17
4,12,277,16
4,13,278,15
4,14,279,14
4,15,280,13
4,16,281,12
4,17,282,11
4,18,283,10
4,19,284,9
4,20,285,8
4,21,286,7
4,22,287,6
4,23,288,5
4,24,289,4
4,25,290,3
4,26,291,2
4,27,292,1
4,28,293,0
4,29,294,1
4,30,295,2
4,31,296,3
4,32,297,4
4,33,298,5
4,34,299,6
4,35,300,7
4,36,301,8
4,37,302,9
4,38,303,10
4,39,304,11
4,40,305,12
4,41,306,13
4,42,307,14
4,43,308,15
4,44,309,16
4,45,310,17
4,46,311,18
4,47,312,19
4,48,313,20
4,49,314,21
4,50,315,22
