drone_id,step,x,y
3,0,96,2
3,1,95,1
3,2,94,0
3,3,93,1
3,4,92,2
3,5,91,3
3,6,90,4
3,7,89,5
3,8,88,6
3,9,87,7
3,10,86,8
3,11,85,9
3,12,84,10
3,13,83,11
3,14,82,12
3,15,81,13
3,16,80,14
3,17,79,15
3,18,78,16
3,19,77,17
3,20,76,18
3,21,75,19
3,22,74,20
3,23,73,21
3,24,72,22
3,25,71,23
3,26,70,24
3,27,69,25
3,28,68,26
3,29,67,27
3,30,66,28
3,31,65,29
3,32,64,30
3,33,63,31
3,34,62,32
3,35,61,33
3,36,60,34
3,37,59,35
3,38,58,36
3,39,57,37
3,40,56,38
3,41,55,39
3,42,54,40
3,43,53,41
3,44,52,42
3,45,51,43
3,46,50,44
3,47,49,45
3,48,48,46
3,49,47,47
3,50,46,48
