drone_id,step,x,y
1,0,413,15
1,1,412,16
1,2,411,17
1,3,410,18
1,4,409,19
1,5,408,20
1,6,407,21
1,7,406,22
1,8,405,23
1,9,404,24
1,10,403,25
1,11,402,26
1,12,401,27
1,13,400,28
1,14,399,29
1,15,398,30
1,16,397,31
1,17,396,32
1,18,395,33
1,19,394,34
1,20,393,35
1,21,392,36
1,22,391,37
1,23,390,38
1,24,389,39
1,25,388,40
1,26,387,40
1,27,386,40
1,28,385,40
1,29,384,40
1,30,383,40
1,31,382,40
1,32,381,40
1,33,380,40
1,34,379,40
1,35,378,40
1,36,377,40
1,37,376,40
1,38,375,40
1,39,374,40
1,40,373,40
1,41,372,40
1,42,371,40
1,43,370,40
1,44,369,40
1,45,368,40
1,46,367,40
1,47,366,40
1,48,365,40
1,49,364,40
1,50,363,40
