drone_id,step,x,y
3,0,455,13
3,1,454,14
3,2,453,15
3,3,452,16
3,4,451,17
3,5,450,18
3,6,449,19
3,7,448,20
3,8,447,21
3,9,446,22
3,10,445,23
3,11,444,24
3,12,443,25
3,13,442,26
3,14,441,27
3,15,440,28
3,16,439,29
3,17,438,30
3,18,437,31
3,19,436,32
3,20,435,33
3,21,434,34
3,22,433,35
3,23,432,36
3,24,431,37
3,25,430,38
3,26,429,39
3,27,428,40
3,28,427,41
3,29,426,42
3,30,425,43
3,31,424,44
3,32,423,45
3,33,422,46
3,34,421,47
3,35,420,48
3,36,419,49
3,37,418,50
3,38,417,51
3,39,416,52
3,40,415,53
3,41,414,54
3,42,413,55
3,43,412,56
3,44,411,57
3,45,410,58
3,46,409,59
3,47,408,60
3,48,407,61
3,49,406,62
3,50,405,63
