drone_id,step,x,y
1,0,200,25
1,1,201,25
1,2,202,25
1,3,203,25
1,4,204,25
1,5,205,25
1,6,206,25
1,7,207,25
1,8,208,25
1,9,209,25
1,10,210,25
1,11,211,25
1,12,212,25
1,13,213,25
1,14,214,25
1,15,215,25
1,16,216,25
1,17,217,25
1,18,218,25
1,19,219,25
1,20,220,25
1,21,221,25
1,22,222,25
1,23,223,25
1,24,224,25
1,25,225,25
1,26,226,25
1,27,227,25
1,28,228,25
1,29,229,25
1,30,230,25
1,31,231,25
1,32,232,25
1,33,233,25
1,34,234,25
1,35,235,25
1,36,236,25
1,37,237,25
1,38,238,25
1,39,239,25
1,40,240,25
1,41,241,25
1,42,242,25
1,43,243,25
1,44,244,25
1,45,245,25
1,46,246,25
1,47,247,25
1,48,248,25
1,49,249,25
1,50,250,25
