drone_id,step,x,y
2,0,456,41
2,1,455,42
2,2,454,43
2,3,453,44
2,4,452,45
2,5,451,46
2,6,450,47
2,7,449,48
2,8,448,49
2,9,447,50
2,10,446,51
2,11,445,52
2,12,444,53
2,13,443,54
2,14,442,55
2,15,441,56
2,16,440,57
2,17,439,58
2,18,438,59
2,19,437,60
2,20,436,61
2,21,435,62
2,22,434,63
2,23,433,64
2,24,432,65
2,25,431,66
2,26,430,67
2,27,429,68
2,28,428,69
2,29,427,70
2,30,426,71
2,31,425,72
2,32,424,73
2,33,423,74
2,34,422,75
2,35,421,76
2,36,420,77
2,37,419,78
2,38,418,79
2,39,417,80
2,40,416,81
2,41,415,82
2,42,414,83
2,43,413,84
2,44,412,85
2,45,411,86
2,46,410,87
2,47,409,88
2,48,408,89
2,49,407,90
2,50,406,91
