drone_id,step,x,y
2,0,96,91
2,1,97,90
2,2,98,89
2,3,99,88
2,4,100,87
2,5,101,86
2,6,102,85
2,7,103,84
2,8,104,83
2,9,105,82
2,10,106,81
2,11,107,80
2,12,108,79
2,13,109,78
2,14,110,77
2,15,111,76
2,16,112,75
2,17,113,74
2,18,114,73
2,19,115,72
2,20,116,71
2,21,117,70
2,22,118,69
2,23,119,68
2,24,120,67
2,25,121,66
2,26,122,65
2,27,123,64
2,28,124,63
2,29,125,62
2,30,126,61
2,31,127,60
2,32,128,59
2,33,129,58
2,34,130,57
2,35,131,56
2,36,132,55
2,37,133,54
2,38,134,53
2,39,135,52
2,40,136,51
2,41,137,50
2,42,138,49
2,43,139,48
2,44,140,47
2,45,141,46
2,46,142,45
2,47,143,44
2,48,144,43
2,49,145,42
2,50,146,41
