drone_id,step,x,y
1,0,200,42
1,1,201,43
1,2,202,44
1,3,203,45
1,4,204,46
1,5,205,47
1,6,206,48
1,7,207,49
1,8,208,50
1,9,209,51
1,10,210,52
1,11,211,53
1,12,212,54
1,13,213,55
1,14,214,56
1,15,215,57
1,16,216,58
1,17,217,59
1,18,218,60
1,19,219,61
1,20,220,62
1,21,221,63
1,22,222,64
1,23,223,65
1,24,224,66
1,25,225,67
1,26,226,68
1,27,227,69
1,28,228,70
1,29,229,71
1,30,230,72
1,31,231,73
1,32,232,74
1,33,233,75
1,34,234,76
1,35,235,77
1,36,236,78
1,37,237,79
1,38,238,80
1,39,239,81
1,40,240,82
1,41,241,83
1,42,242,84
1,43,243,85
1,44,244,86
1,45,245,87
1,46,246,88
1,47,247,89
1,48,248,90
1,49,249,91
1,50,250,92
