drone_id,step,x,y
6,0,490,34
6,1,489,33
6,2,488,32
6,3,487,31
6,4,486,30
6,5,485,29
6,6,484,28
6,7,483,27
6,8,482,26
6,9,481,25
6,10,480,24
6,11,479,23
6,12,478,22
6,13,477,21
6,14,476,20
6,15,475,19
6,16,474,18
6,17,473,17
6,18,472,16
6,19,471,15
6,20,470,14
6,21,469,14
6,22,468,14
6,23,467,14
6,24,466,14
6,25,465,14
6,26,464,14
6,27,463,14
6,28,462,14
6,29,461,14
6,30,460,14
6,31,459,14
6,32,458,14
6,33,457,14
6,34,456,14
6,35,455,14
6,36,454,14
6,37,453,14
6,38,452,14
6,39,451,14
6,40,450,14
6,41,449,14
6,42,448,14
6,43,447,14
6,44,446,14
6,45,445,14
6,46,444,14
6,47,443,14
6,48,442,14
6,49,441,14
6,50,440,14
