drone_id,step,x,y
4,0,529,96
4,1,528,97
4,2,527,98
4,3,526,99
4,4,525,98
4,5,524,97
4,6,523,96
4,7,522,95
4,8,521,94
4,9,520,93
4,10,519,92
4,11,518,91
4,12,517,90
4,13,516,89
4,14,515,88
4,15,514,87
4,16,513,86
4,17,512,85
4,18,511,84
4,19,510,83
4,20,509,82
4,21,508,81
4,22,507,80
4,23,506,79
4,24,505,78
4,25,504,77
4,26,503,76
4,27,502,75
4,28,501,74
4,29,500,73
4,30,499,72
4,31,498,71
4,32,497,70
4,33,496,69
4,34,495,68
4,35,494,67
4,36,493,66
4,37,492,65
4,38,491,64
4,39,490,63
4,40,489,62
4,41,488,61
4,42,487,60
4,43,486,59
4,44,485,58
4,45,484,57
4,46,483,56
4,47,482,55
4,48,481,54
4,49,480,53
4,50,479,52
