drone_id,step,x,y
2,0,291,13
2,1,292,13
2,2,293,13
2,3,294,13
2,4,295,13
2,5,296,13
2,6,297,13
2,7,298,13
2,8,299,13
2,9,300,13
2,10,301,13
2,11,302,13
2,12,303,13
2,13,304,13
2,14,305,13
2,15,306,13
2,16,307,13
2,17,308,13
2,18,309,13
2,19,310,13
2,20,311,13
2,21,312,13
2,22,313,13
2,23,314,13
2,24,315,13
2,25,316,13
2,26,317,13
2,27,318,13
2,28,319,13
2,29,320,13
2,30,321,13
2,31,322,13
2,32,323,13
2,33,324,13
2,34,325,13
2,35,326,13
2,36,327,13
2,37,328,13
2,38,329,13
2,39,330,13
2,40,331,13
2,41,332,13
2,42,333,13
2,43,334,13
2,44,335,13
2,45,336,13
2,46,337,13
2,47,338,13
2,48,339,13
2,49,340,13
2,50,341,13
